Instituição(IES),Nome do Curso,Grau,Modalidade,CC,CPC,ENADE,Situação
-,GESTÃO COMERCIAL,Tecnológico,Presencial,4,3,3,Em Atividade
-,REDES DE COMPUTADORES,Tecnológico,Presencial,2,-,2,Em Atividade
-,PEDAGOGIA,Licenciatura,Presencial,4,-,-,Em Atividade
-,MARKETING,Tecnológico,Presencial,4,-,-,Em Extinção
-,LOGÍSTICA,Tecnológico,Presencial,3,-,3,Em Atividade
-,INTERNET,Tecnológico,Presencial,3,-,-,Em Atividade
-,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,4,2,2,Em Atividade
-,ENGENHARIA MECÂNICA,Bacharelado,Presencial,4,-,-,Em Atividade
-,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
-,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
-,ENFERMAGEM,Bacharelado,Presencial,-,-,-,Em Extinção
-,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,-,-,-,Em Extinção
-,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,4,-,-,Em Atividade
-,COMPUTAÇÃO E INFORMÁTICA,Bacharelado,Presencial,-,-,-,Em Extinção
-,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,3,SC,2,Em Atividade
-,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,3,-,-,Em Extinção
-,ADMINISTRAÇÃO,Bacharelado,Presencial,-,SC,2,Em Atividade
-,ADMINISTRAÇÃO,Bacharelado,Presencial,3,-,-,Em Atividade
-,ADMINISTRAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
-,ADMINISTRAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
AD1,MARKETING DE VAREJO,Tecnológico,Presencial,-,SC,SC,Em Atividade
AD1,EVENTOS,Tecnológico,Presencial,-,-,-,Em Atividade
AD1,ESTILISMO,Tecnológico,Presencial,-,SC,4,Em Atividade
AD1,DESIGN DE MODA,Tecnológico,Presencial,-,SC,4,Em Atividade
ADJETIVO-CETEP,SEGURANÇA NO TRABALHO,Tecnológico,Presencial,4,-,-,Em Atividade
ADJETIVO-CETEP,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,3,-,-,Em Atividade
ADJETIVO-CETEP,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
ADJETIVO-CETEP,ENGENHARIA DE MINAS,Bacharelado,Presencial,4,-,-,Em Atividade
ADJETIVO-CETEP,AUTOMAÇÃO INDUSTRIAL,Tecnológico,Presencial,4,-,-,Em Atividade
AEMS,TURISMO,Bacharelado,Presencial,4,-,SC,Em Extinção
AEMS,SISTEMAS PARA INTERNET,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,SERVIÇO SOCIAL,Bacharelado,Presencial,4,3,4,Em Atividade
AEMS,SECRETARIADO EXECUTIVO,Bacharelado,Presencial,4,SC,2,Em Atividade
AEMS,RADIOLOGIA,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,-,-,Extinto
AEMS,PSICOLOGIA,Bacharelado,Presencial,4,SC,3,Em Atividade
AEMS,PRODUÇÃO SUCROALCOOLEIRA,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,PROCESSOS QUÍMICOS,Tecnológico,Presencial,3,-,-,Em Atividade
AEMS,PEDAGOGIA,Licenciatura,Presencial,5,-,-,Em Atividade
AEMS,PAPEL E CELULOSE,Tecnológico,Presencial,4,-,-,Em Atividade
AEMS,NUTRIÇÃO,Bacharelado,Presencial,4,SC,SC,Em Atividade
AEMS,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,JORNALISMO,Bacharelado,Presencial,4,SC,4,Em Atividade
AEMS,HOTELARIA,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,GESTÃO FINANCEIRA,Tecnológico,Presencial,4,SC,4,Em Atividade
AEMS,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,GESTÃO AMBIENTAL,Tecnológico,Presencial,5,-,-,Em Atividade
AEMS,GASTRONOMIA,Tecnológico,Presencial,4,-,-,Em Atividade
AEMS,FISIOTERAPIA,Bacharelado,Presencial,3,3,2,Em Atividade
AEMS,FARMÁCIA,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ENGENHARIA ELÉTRICA,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ENGENHARIA CIVIL,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ENGENHARIA AMBIENTAL E SANITÁRIA,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ENFERMAGEM,Bacharelado,Presencial,5,SC,SC,Em Atividade
AEMS,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,-,3,3,Em Atividade
AEMS,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,-,SC,Em Atividade
AEMS,DIREITO,Bacharelado,Presencial,-,4,4,Em Atividade
AEMS,DESIGN GRÁFICO,Tecnológico,Presencial,-,-,-,Em Atividade
AEMS,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,4,4,4,Em Atividade
AEMS,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,4,3,Em Atividade
AEMS,CIÊNCIAS BIOLÓGICAS,Licenciatura,Presencial,-,-,-,Em Atividade
AEMS,BIOMEDICINA,Bacharelado,Presencial,3,SC,SC,Em Atividade
AEMS,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,3,3,Em Atividade
AEMS,ALIMENTOS,Tecnológico,Presencial,3,-,-,Em Atividade
AEMS,AGRONOMIA,Bacharelado,Presencial,-,-,-,Em Atividade
AEMS,ADMINISTRAÇÃO,Bacharelado,Presencial,-,3,3,Em Atividade
AEMS,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,-,Extinto
AES,SISTEMA DE INFORMAÇÃO,Bacharelado,Presencial,3,3,3,Em Atividade
AES,PEDAGOGIA,Licenciatura,Presencial,4,3,4,Em Atividade
AFARP,TURISMO,Bacharelado,Presencial,3,SC,3,Em Extinção
AFARP,TEOLOGIA,Bacharelado,Presencial,4,-,-,Em Atividade
AFARP,SISTEMAS DE INFORMAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
AFARP,PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,3,SC,1,Em Atividade
AFARP,PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,-,-,Em Extinção
AFARP,PEDAGOGIA,Licenciatura,Presencial,-,2,2,Em Atividade
AFARP,PEDAGOGIA,Licenciatura,Presencial,4,-,3,Em Atividade
AFARP,MATEMÁTICA,Licenciatura,Presencial,3,3,3,Em Atividade
AFARP,MARKETING,Tecnológico,Presencial,-,-,-,Em Atividade
AFARP,LETRAS - PORTUGUÊS E ESPANHOL,Licenciatura,Presencial,4,3,3,Em Atividade
AFARP,LETRAS - INGLÊS,Licenciatura,Presencial,-,3,3,Em Atividade
AFARP,LETRAS - INGLÊS,Licenciatura,Presencial,-,-,-,Extinto
AFARP,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,-,-,Em Atividade
AFARP,ENGENHARIA MECÂNICA,Bacharelado,Presencial,-,-,-,Em Atividade
AFARP,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,3,3,1,Em Atividade
AFARP,ENGENHARIA AMBIENTAL E SANITÁRIA,Bacharelado,Presencial,-,-,-,Em Atividade
AFARP,ENGENHARIA,Bacharelado,Presencial,-,3,2,Em Atividade
AFARP,CIÊNCIAS ECONÔMICAS,Bacharelado,Presencial,-,2,2,Em Atividade
AFARP,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,3,2,2,Em Atividade
AFARP,ARTES VISUAIS,Licenciatura,Presencial,-,-,-,Em Atividade
AFARP,ADMINISTRAÇÃO,Bacharelado,Presencial,3,3,3,Em Atividade
AIEC / FAAB,GESTÃO FINANCEIRA,Tecnológico,A Distância,-,-,-,Em Atividade
AIEC / FAAB,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,A Distância,-,-,-,Em Atividade
AIEC / FAAB,ADMINISTRAÇÃO,Bacharelado,A Distância,-,4,4,Em Atividade
AJES,TEOLOGIA,Bacharelado,Presencial,-,-,-,Em Atividade
AJES,PSICOLOGIA,Bacharelado,Presencial,3,-,-,Em Atividade
AJES,PEDAGOGIA,Licenciatura,Presencial,3,-,-,Em Atividade
AJES,MATEMÁTICA,Licenciatura,Presencial,3,-,-,Em Atividade
AJES,LETRAS - INGLÊS,Licenciatura,Presencial,4,4,3,Em Atividade
AJES,LETRAS,Licenciatura,Presencial,4,-,-,Em Atividade
AJES,GEOGRAFIA,Licenciatura,Presencial,4,-,-,Em Atividade
AJES,ENFERMAGEM,Bacharelado,Presencial,4,-,-,Em Atividade
AJES,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,-,-,Em Atividade
AJES,DIREITO,Bacharelado,Presencial,2,3,2,Em Atividade
AJES,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,3,-,-,Em Atividade
AJES,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,4,3,3,Em Atividade
AJES,ADMINISTRAÇÃO,Bacharelado,Presencial,4,3,4,Em Atividade
ALFA,TURISMO,Bacharelado,Presencial,4,SC,SC,Em Atividade
ALFA,SISTEMA DE INFORMAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
ALFA,PSICOLOGIA,Bacharelado,Presencial,4,3,3,Em Atividade
ALFA,PEDAGOGIA,Licenciatura,Presencial,-,-,-,Em Atividade
ALFA,PEDAGOGIA,Licenciatura,Presencial,5,SC,4,Em Atividade
ALFA,PEDAGOGIA,Licenciatura,Presencial,-,3,3,Em Extinção
ALFA,NUTRIÇÃO,Bacharelado,Presencial,3,-,-,Em Atividade
ALFA,GESTÃO PÚBLICA,Tecnológico,Presencial,3,-,-,Em Atividade
ALFA,FARMÁCIA,Bacharelado,Presencial,3,-,-,Em Atividade
ALFA,ENGENHARIA MECÂNICA,Bacharelado,Presencial,4,-,-,Em Atividade
ALFA,ENGENHARIA ELÉTRICA,Bacharelado,Presencial,3,-,-,Em Atividade
ALFA,ENGENHARIA DE TELECOMUNICAÇÕES,Bacharelado,Presencial,4,-,-,Em Atividade
ALFA,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
ALFA,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,Presencial,3,3,2,Em Atividade
ALFA,ENGENHARIA CIVIL,Bacharelado,Presencial,3,-,-,Em Atividade
ALFA,ENFERMAGEM,Bacharelado,Presencial,3,SC,SC,Em Atividade
ALFA,DIREITO,Bacharelado,Presencial,3,3,2,Em Atividade
ALFA,COMÉRCIO EXTERIOR,Bacharelado,Presencial,-,-,-,Em Atividade
ALFA,COMUNICAÇÃO SOCIAL - JORNALISMO,Bacharelado,Presencial,4,SC,3,Em Atividade
ALFA,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,-,-,-,Em Atividade
ALFA,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,3,2,3,Em Atividade
ALFA,CIÊNCIAS ECONÔMICAS,Bacharelado,Presencial,4,2,2,Em Atividade
ALFA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,3,-,3,Em Atividade
ALFA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,5,3,3,Em Atividade
ALFA,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,-,Em Atividade
ALFA,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
ALFA,ADMINISTRAÇÃO,Bacharelado,Presencial,-,SC,3,Em Atividade
ALFA,ADMINISTRAÇÃO,Bacharelado,Presencial,5,3,3,Em Atividade
ALFA,ADMINISTRAÇÃO,Bacharelado,Presencial,3,2,2,Em Extinção
ALFA,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,-,Extinto
AMEC,ENGENHARIA,Bacharelado,Presencial,-,-,-,Em Atividade
AMEC,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
AMEC,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,SC,Em Atividade
AMF,SISTEMA DE INFORMAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
AMF,DIREITO,Bacharelado,Presencial,4,-,-,Em Atividade
AMF,ADMINISTRAÇÃO,Bacharelado,Presencial,4,4,5,Em Atividade
AMTEC,SISTEMAS PARA INTERNET,Tecnológico,Presencial,3,-,-,Em Atividade
AMTEC,REDES DE COMPUTADORES,Tecnológico,Presencial,3,-,-,Em Atividade
ANAEC,PEDAGOGIA,Licenciatura,Presencial,-,-,-,Em Atividade
ANAEC,PEDAGOGIA,Licenciatura,Presencial,3,2,3,Em Atividade
ANAEC,PEDAGOGIA,Licenciatura,Presencial,-,-,-,Em Extinção
ANAEC,PEDAGOGIA,Licenciatura,Presencial,-,-,2,Em Extinção
ANAEC,PEDAGOGIA,Licenciatura,Presencial,-,2,2,Em Extinção
ANCHIETA,PEDAGOGIA,Licenciatura,Presencial,-,-,-,Em Atividade
ANCHIETA,PEDAGOGIA,Licenciatura,Presencial,4,-,-,Em Atividade
ANCHIETA,MARKETING,Tecnológico,Presencial,-,-,-,Em Atividade
ANCHIETA,MARKETING,Tecnológico,Presencial,4,-,-,Em Atividade
ANCHIETA,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
ANCHIETA,LOGÍSTICA,Tecnológico,Presencial,3,2,2,Em Atividade
ANCHIETA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,-,-,Em Atividade
ANCHIETA,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,4,3,3,Em Atividade
ANCHIETA,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
ANCHIETA,ADMINISTRAÇÃO,Bacharelado,Presencial,3,3,2,Em Atividade
APOGEU,ADMINISTRAÇÃO,Bacharelado,Presencial,3,2,2,Em Atividade
ASCES,SERVIÇO SOCIAL,Bacharelado,Presencial,4,SC,SC,Em Atividade
ASCES,SERVIÇO SOCIAL,Bacharelado,Presencial,-,-,-,Extinto
ASCES,SAÚDE COLETIVA,Bacharelado,Presencial,4,-,-,Em Atividade
ASCES,RELAÇÕES INTERNACIONAIS,Bacharelado,Presencial,4,SC,-,Em Atividade
ASCES,RELAÇÕES INTERNACIONAIS,Bacharelado,Presencial,-,-,-,Extinto
ASCES,ODONTOLOGIA,Bacharelado,Presencial,3,4,3,Em Atividade
ASCES,FISIOTERAPIA,Bacharelado,Presencial,4,3,3,Em Atividade
ASCES,FARMÁCIA,Bacharelado,Presencial,4,3,3,Em Atividade
ASCES,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
ASCES,ENGENHARIA AMBIENTAL E SANITÁRIA,Bacharelado,Presencial,-,-,-,Extinto
ASCES,ENGENHARIA AMBIENTAL,Bacharelado,Presencial,4,-,-,Em Atividade
ASCES,ENFERMAGEM,Bacharelado,Presencial,5,3,3,Em Atividade
ASCES,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,4,3,3,Em Atividade
ASCES,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,-,-,Em Atividade
ASCES,DIREITO,Bacharelado,Presencial,-,3,2,Em Atividade
ASCES,BIOMEDICINA,Bacharelado,Presencial,4,3,3,Em Atividade
ASCES,ADMINISTRAÇÃO PÚBLICA,Bacharelado,Presencial,4,SC,-,Em Atividade
ASCES,ADMINISTRAÇÃO PÚBLICA,Bacharelado,Presencial,-,-,-,Extinto
ASMEC,QUÍMICA,Licenciatura,Presencial,3,2,2,Em Atividade
ASMEC,PROCESSOS GERENCIAIS,Tecnológico,Presencial,4,3,2,Em Atividade
ASMEC,PEDAGOGIA,Licenciatura,Presencial,-,3,3,Em Atividade
ASMEC,PEDAGOGIA,Licenciatura,Presencial,-,-,-,Extinto
ASMEC,NUTRIÇÃO,Bacharelado,Presencial,-,2,2,Em Atividade
ASMEC,MATEMÁTICA,Licenciatura,Presencial,4,3,3,Em Atividade
ASMEC,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,Presencial,3,2,3,Em Atividade
ASMEC,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,Presencial,-,-,-,Extinto
ASMEC,HOTELARIA,Tecnológico,Presencial,4,-,-,Em Atividade
ASMEC,GESTÃO DE TURISMO,Tecnológico,Presencial,-,-,-,Extinto
ASMEC,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,-,-,Em Atividade
ASMEC,GESTÃO COMERCIAL,Tecnológico,Presencial,-,-,-,Em Atividade
ASMEC,GESTÃO AMBIENTAL,Tecnológico,Presencial,3,2,2,Em Atividade
ASMEC,GEOGRAFIA,Licenciatura,Presencial,-,SC,4,Em Atividade
ASMEC,FISIOTERAPIA,Bacharelado,Presencial,-,-,-,Extinto
ASMEC,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,-,-,-,Em Atividade
ASMEC,ENFERMAGEM,Bacharelado,Presencial,3,SC,SC,Em Atividade
ASMEC,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,4,SC,SC,Em Atividade
ASMEC,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,3,3,3,Em Atividade
ASMEC,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,-,-,Em Atividade
ASMEC,CIÊNCIAS BIOLÓGICAS,Licenciatura,Presencial,3,3,3,Em Atividade
ASMEC,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,4,-,-,Em Atividade
ASMEC,ADMINISTRAÇÃO,Bacharelado,Presencial,4,3,3,Em Atividade
AUFES,PEDAGOGIA,Licenciatura,Presencial,-,2,2,Em Atividade
AUFES,PEDAGOGIA,Licenciatura,Presencial,1,-,3,Em Atividade
AUFES,PEDAGOGIA,Licenciatura,Presencial,-,-,-,Extinto
AVANTIS,SISTEMA DE INFORMAÇÃO,Bacharelado,Presencial,3,3,3,Em Atividade
AVANTIS,PSICOLOGIA,Bacharelado,Presencial,-,SC,SC,Em Atividade
AVANTIS,ODONTOLOGIA,Bacharelado,Presencial,4,-,-,Em Atividade
AVANTIS,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,-,-,-,Em Atividade
AVANTIS,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,-,-,Em Atividade
AVANTIS,DIREITO,Bacharelado,Presencial,-,-,-,Em Atividade
AVANTIS,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,4,3,3,Em Atividade
AVANTIS,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,-,Em Atividade
AVANTIS,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
AVANTIS,ADMINISTRAÇÃO,Bacharelado,Presencial,-,3,3,Em Atividade
AVEC,REDES DE COMPUTADORES,Tecnológico,Presencial,3,-,-,Em Atividade
AVEC,PEDAGOGIA,Licenciatura,Presencial,-,-,2,Em Atividade
AVEC,DIREITO,Bacharelado,Presencial,5,3,3,Em Atividade
AVEC,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,-,-,3,Em Atividade
AVEC,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,3,-,-,Em Atividade
AVEC,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,3,Em Atividade
AVEC,ADMINISTRAÇÃO,Bacharelado,Presencial,-,3,3,Em Atividade
AVEC,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,3,Em Extinção
BANDTEC,REDES DE COMPUTADORES,Tecnológico,Presencial,-,-,-,Em Atividade
BANDTEC,REDES DE COMPUTADORES,Tecnológico,Presencial,4,-,-,Em Atividade
BANDTEC,BANCO DE DADOS,Tecnológico,Presencial,-,-,-,Em Atividade
BANDTEC,BANCO DE DADOS,Tecnológico,Presencial,4,-,-,Em Atividade
BANDTEC,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,-,-,-,Em Atividade
BANDTEC,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,4,-,-,Em Atividade
BENNETT,TEOLOGIA,Bacharelado,Presencial,4,-,-,Em Atividade
BENNETT,RELAÇÕES INTERNACIONAIS,Bacharelado,Presencial,3,SC,2,Em Extinção
BENNETT,PEDAGOGIA,Licenciatura,Presencial,4,SC,3,Em Atividade
BENNETT,NUTRIÇÃO,Bacharelado,Presencial,3,3,3,Em Atividade
BENNETT,HISTÓRIA,Licenciatura,Presencial,3,4,5,Em Extinção
BENNETT,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,-,-,Extinto
BENNETT,FISIOTERAPIA,Bacharelado,Presencial,2,2,2,Em Extinção
BENNETT,FILOSOFIA,Licenciatura,Presencial,-,3,3,Em Extinção
BENNETT,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,3,3,3,Em Atividade
BENNETT,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,3,SC,3,Em Atividade
BENNETT,DIREITO,Bacharelado,Presencial,3,SC,1,Em Atividade
BENNETT,CIÊNCIAS ECONÔMICAS,Bacharelado,Presencial,3,SC,2,Em Extinção
BENNETT,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Presencial,-,3,3,Em Extinção
BENNETT,ARTES VISUAIS,Licenciatura,Presencial,4,SC,1,Em Atividade
BENNETT,ARQUITETURA E URBANISMO,Bacharelado,Presencial,3,3,3,Em Atividade
BENNETT,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Presencial,2,2,2,Em Extinção
BENNETT,ADMINISTRAÇÃO,Bacharelado,Presencial,4,SC,3,Em Atividade
BILAC,PEDAGOGIA,Licenciatura,Presencial,3,-,-,Em Atividade
BILAC,CIÊNCIAS CONTÁBEIS,Bacharelado,Presencial,3,4,4,Em Atividade
BILAC,ADMINISTRAÇÃO,Bacharelado,Presencial,3,3,3,Em Atividade
BOM JESUS/IELUSC,TURISMO,Bacharelado,Presencial,-,SC,4,Em Extinção
BOM JESUS/IELUSC,NUTRIÇÃO,Bacharelado,Presencial,3,3,3,Em Atividade
BOM JESUS/IELUSC,ENFERMAGEM,Bacharelado,Presencial,3,3,3,Em Atividade
BOM JESUS/IELUSC,EDUCAÇÃO FÍSICA,Bacharelado,Presencial,3,3,3,Em Atividade
BOM JESUS/IELUSC,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,3,SC,3,Em Atividade
BOM JESUS/IELUSC,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,3,3,Em Atividade
BOM JESUS/IELUSC,COMUNICAÇÃO SOCIAL - JORNALISMO,Bacharelado,Presencial,-,4,4,Em Atividade
BOM JESUS/IELUSC,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,-,-,-,Em Atividade
CALAFIORI,PEDAGOGIA,Licenciatura,Presencial,-,3,3,Em Atividade
CALAFIORI,NORMAL SUPERIOR,Licenciatura,Presencial,-,-,-,Extinto
CALAFIORI,HISTÓRIA,Licenciatura,Presencial,-,-,SC,Em Extinção
CALAFIORI,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,4,2,2,Em Atividade
CALAFIORI,ADMINISTRAÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
CAMBURY,TURISMO,Bacharelado,Presencial,5,SC,1,Em Atividade
CAMBURY,PSICOLOGIA,Bacharelado,Presencial,-,-,-,Em Atividade
CAMBURY,PRODUÇÃO PUBLICITÁRIA,Tecnológico,Presencial,4,-,-,Em Atividade
CAMBURY,PROCESSOS GERENCIAIS,Tecnológico,Presencial,3,2,1,Em Atividade
CAMBURY,MARKETING,Tecnológico,Presencial,3,3,3,Em Atividade
CAMBURY,MARKETING,Tecnológico,Presencial,3,3,4,Em Atividade
CAMBURY,LOGÍSTICA,Tecnológico,Presencial,-,-,-,Em Atividade
CAMBURY,HOTELARIA,Tecnológico,Presencial,3,-,-,Em Atividade
CAMBURY,HOTELARIA,Tecnológico,Presencial,-,-,-,Em Extinção
CAMBURY,GESTÃO EXECUTIVA DE NEGÓCIOS,Tecnológico,Presencial,-,2,1,Em Atividade
CAMBURY,GESTÃO DE SERVIÇOS EXECUTIVOS,Tecnológico,Presencial,-,-,-,Em Extinção
CAMBURY,GESTÃO DE RECURSOS HUMANOS,Tecnológico,Presencial,-,3,2,Em Atividade
CAMBURY,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,Tecnológico,Presencial,3,-,-,Em Atividade
CAMBURY,GASTRONOMIA,Tecnológico,Presencial,5,3,4,Em Atividade
CAMBURY,FOTOGRAFIA,Tecnológico,Presencial,5,-,-,Em Atividade
CAMBURY,FISIOTERAPIA,Bacharelado,Presencial,-,-,-,Em Atividade
CAMBURY,EVENTOS,Tecnológico,Presencial,-,-,-,Em Atividade
CAMBURY,ESTÉTICA E COSMÉTICA,Tecnológico,Presencial,3,-,-,Em Atividade
CAMBURY,DIREITO,Bacharelado,Presencial,4,3,3,Em Atividade
CAMBURY,DESIGN DE JÓIAS E GEMAS,Tecnológico,Presencial,4,-,-,Em Atividade
CAMBURY,DESIGN DE INTERIORES,Tecnológico,Presencial,3,-,-,Em Atividade
CAMBURY,ARQUITETURA E URBANISMO,Bacharelado,Presencial,-,-,SC,Em Extinção
CAMBURY,ADMINISTRAÇÃO,Bacharelado,Presencial,5,3,2,Em Atividade
CAMPO REAL,SECRETARIADO EXECUTIVO,Bacharelado,Presencial,4,-,-,Em Extinção
CAMPO REAL,PSICOLOGIA,Bacharelado,Presencial,3,4,3,Em Atividade
CAMPO REAL,NUTRIÇÃO,Bacharelado,Presencial,3,SC,SC,Em Atividade
CAMPO REAL,LETRAS - ESPANHOL,Licenciatura,Presencial,4,SC,3,Em Atividade
CAMPO REAL,LETRAS,Licenciatura,Presencial,-,3,3,Em Atividade
CAMPO REAL,ENGENHARIA DE PRODUÇÃO,Bacharelado,Presencial,4,-,-,Em Atividade
CAMPO REAL,ENGENHARIA AGRONÔMICA,Bacharelado,Presencial,-,SC,SC,Em Atividade
CAMPO REAL,ENFERMAGEM,Bacharelado,Presencial,3,SC,SC,Em Atividade
CAMPO REAL,EDUCAÇÃO FÍSICA,Licenciatura,Presencial,-,-,-,Em Extinção
CAMPO REAL,DIREITO,Bacharelado,Presencial,3,4,4,Em Atividade
CAMPO REAL,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,5,3,3,Em Atividade
CAMPO REAL,COMUNICAÇÃO SOCIAL,Bacharelado,Presencial,-,-,-,Em Extinção
CAMPO REAL,CIÊNCIAS ECONÔMICAS,Bacharelado,Presencial,-,-,-,Em Extinção
CAMPO REAL,BIOMEDICINA,Bacharelado,Presencial,4,SC,SC,Em Atividade
CAMPO REAL,ADMINISTRAÇÃO,Bacharelado,Presencial,-,3,3,Em Atividade
CAMPO REAL,ADMINISTRAÇÃO,Bacharelado,Presencial,-,-,-,Em Extinção
CAMPO REAL,ADMINISTRAÇÃO,Bacharelado,Presencial,4,-,-,Em Extinção
